id,company_name,industry,employees,revenue_millions,city,country,founded_year
409,Global Solutions 83,Technology,4676,370.78,Bangalore,UK,1980
410,Future Group 95,Healthcare,38442,144.34,London,Germany,2019
411,Eco Corp 44,Real Estate,25201,236.98,Tokyo,Germany,1958
412,Omega Holdings 67,Retail,42993,10.8,San Francisco,Japan,1974
413,Tech Group 65,Energy,27342,48.57,Tokyo,Canada,1975
414,Omega Inc 15,Automotive,48855,66.76,Sydney,India,1987
415,Alpha Group 48,Healthcare,41377,107.47,San Francisco,India,2015
416,Global Systems 68,Energy,21113,478.02,London,Australia,1951
417,Tech Solutions 92,Automotive,42635,200.01,New York,India,1976
418,Prime Holdings 87,Real Estate,13832,276.49,London,USA,1987
419,Eco Corp 96,Finance,6084,429.74,Berlin,USA,2022
420,Smart Group 94,Technology,19707,307.01,New York,Japan,1989
421,Prime Corp 35,Healthcare,38379,47.09,London,India,1979
422,Tech Ltd 68,Real Estate,18858,206.54,Bangalore,Canada,1953
423,Global Solutions 19,Technology,13781,293.57,Toronto,Australia,1984
424,Smart Solutions 92,Technology,49321,302.19,Berlin,UK,1981
425,Global Systems 57,Finance,40005,189.09,Tokyo,Canada,2002
426,Smart Ltd 17,Healthcare,23076,241.58,Bangalore,Germany,1989
427,Prime Solutions 4,Retail,31306,458.33,Tokyo,Australia,2018
428,Prime Systems 73,Retail,19321,123.98,London,Australia,1958
429,Tech Holdings 86,Energy,3105,36.36,Tokyo,UK,1958
430,Tech Holdings 33,Retail,45109,332.34,Toronto,UK,2009
431,Tech Corp 95,Finance,27195,54.41,Sydney,India,1968
432,Prime Systems 41,Energy,44214,417.75,Berlin,Australia,2017
433,Alpha Inc 25,Retail,7966,108.32,London,Japan,1958
434,Alpha Ltd 64,Healthcare,12666,368.13,Sydney,Japan,1992
435,Smart Ltd 10,Finance,24027,398.27,Bangalore,Japan,2013
436,Eco Group 13,Technology,46560,373.36,San Francisco,USA,2006
437,Prime Ltd 41,Finance,9944,287.76,San Francisco,UK,1974
438,Omega Systems 88,Energy,3373,163.45,Toronto,UK,1961
439,Global Inc 80,Technology,29122,461.2,Sydney,USA,1955
440,Tech Corp 40,Finance,30962,382.33,London,UK,1997
441,Prime Ltd 64,Real Estate,46004,141.17,London,Japan,1966
442,Prime Group 35,Real Estate,38241,48.49,London,Japan,1972
443,Alpha Solutions 32,Energy,22141,467.46,New York,Australia,1975
444,Omega Corp 34,Technology,3399,60.52,Berlin,India,2019
445,Alpha Inc 16,Energy,5864,157.32,Sydney,India,1967
446,Alpha Group 35,Retail,26722,316.79,Bangalore,USA,2012
447,Alpha Holdings 24,Automotive,48116,119.24,San Francisco,USA,1984
448,Future Ltd 67,Real Estate,18172,157.95,Berlin,Australia,1966
449,Future Group 18,Automotive,40200,342.26,Bangalore,India,2011
450,Global Solutions 70,Retail,34903,156.22,San Francisco,Germany,2003
451,Smart Ltd 30,Healthcare,33607,258.1,Toronto,Germany,1994
452,Prime Inc 21,Technology,16737,39.95,Tokyo,Australia,1950
453,Smart Corp 3,Automotive,43679,453.58,Tokyo,Japan,2005
454,Future Holdings 16,Real Estate,2484,180.44,San Francisco,USA,1972
455,Tech Systems 49,Finance,29401,5.77,Berlin,Australia,1977
456,Eco Group 79,Retail,40989,197.79,New York,Canada,1986
457,Smart Systems 30,Finance,48306,401.27,Berlin,Australia,1957
458,Smart Holdings 7,Energy,23435,458.37,Sydney,India,1963
459,Alpha Ltd 52,Energy,41110,292.98,Tokyo,Australia,1989
460,Prime Corp 80,Healthcare,42791,318.34,Toronto,Japan,2011
461,Future Group 22,Real Estate,1440,359.44,San Francisco,UK,1978
462,Future Group 62,Automotive,36052,138.28,New York,Germany,2012
463,Future Holdings 51,Technology,23927,468.13,Toronto,USA,1985
464,Future Systems 29,Energy,11839,173.74,Toronto,UK,1987
465,Eco Inc 65,Technology,5617,202.54,Toronto,Australia,2021
466,Prime Inc 51,Technology,39584,164.61,Toronto,USA,2019
467,Prime Holdings 61,Retail,48673,351.21,Berlin,Canada,2022
468,Omega Corp 67,Retail,26227,359.84,New York,Japan,1981
469,Alpha Holdings 60,Finance,45688,398.41,Toronto,UK,1951
470,Tech Solutions 4,Automotive,11202,96.57,New York,Canada,2004
471,Prime Solutions 47,Healthcare,14546,272.33,Tokyo,Australia,1994
472,Global Solutions 95,Finance,33727,99.77,Bangalore,Canada,2010
473,Eco Corp 50,Healthcare,35265,192.53,New York,UK,1987
474,Eco Inc 93,Automotive,8438,193.84,London,Japan,1988
475,Omega Inc 79,Technology,8940,387.33,Tokyo,Germany,1983
476,Tech Systems 77,Retail,21634,478.68,Bangalore,UK,1973
477,Tech Inc 60,Retail,39157,55.54,New York,Canada,1991
478,Smart Inc 48,Technology,37299,165.35,London,Australia,2019
479,Tech Solutions 9,Healthcare,29599,446.3,Toronto,Canada,1994
480,Smart Ltd 32,Retail,48781,158.36,London,UK,2000
481,Prime Group 82,Retail,24086,338.59,Toronto,UK,1974
482,Smart Inc 99,Healthcare,35373,3.7,Tokyo,Canada,1995
483,Alpha Holdings 69,Healthcare,3080,78.14,San Francisco,Canada,1978
484,Tech Ltd 84,Automotive,40771,93.65,San Francisco,Japan,2019
485,Prime Ltd 20,Finance,2080,13.55,Bangalore,Japan,1975
486,Smart Corp 98,Finance,32487,372.44,Bangalore,USA,1956
487,Future Ltd 72,Energy,44709,36.05,Toronto,UK,2009
488,Smart Systems 94,Energy,49322,316.42,San Francisco,India,1998
489,Tech Holdings 32,Real Estate,47517,210.78,Toronto,Japan,1973
490,Alpha Group 52,Automotive,4786,266.57,London,UK,1995
491,Alpha Corp 42,Real Estate,25288,72.07,New York,Germany,1979
492,Eco Solutions 91,Real Estate,8111,491.26,Toronto,Japan,1970
493,Prime Corp 68,Real Estate,19950,7.82,Toronto,India,1982
494,Smart Holdings 62,Energy,27296,25.24,San Francisco,Germany,1965
495,Prime Holdings 98,Automotive,16093,463.96,Sydney,Japan,1978
496,Future Group 44,Energy,8565,112.38,London,Australia,1976
497,Tech Solutions 99,Finance,41862,438.55,Bangalore,Australia,2007
498,Eco Holdings 90,Real Estate,44901,370.29,London,Australia,1958
499,Global Solutions 15,Retail,26707,21.62,New York,USA,2022
500,Smart Corp 99,Technology,1559,164.78,London,UK,1996
501,Future Solutions 58,Real Estate,23522,455.03,Bangalore,USA,1973
502,Future Ltd 84,Real Estate,38773,69.84,San Francisco,Germany,1953
503,Global Solutions 96,Finance,14225,40.49,London,Canada,2003
504,Alpha Holdings 23,Energy,9085,410.5,Tokyo,Australia,1958
505,Tech Systems 3,Healthcare,20996,107.89,London,Japan,2014
506,Tech Ltd 23,Retail,20876,157.29,Toronto,Australia,2018
507,Prime Systems 92,Finance,1106,364.43,New York,Germany,1976
508,Smart Corp 56,Finance,25586,324.92,San Francisco,UK,2004
509,Prime Systems 59,Healthcare,29976,463.98,Sydney,India,2019
510,Eco Group 70,Finance,11956,296.06,New York,Germany,1984
511,Future Corp 5,Real Estate,38992,393.59,New York,Germany,1954
512,Tech Corp 93,Real Estate,39744,143.87,San Francisco,USA,1987
513,Alpha Corp 51,Energy,19566,216.71,London,USA,1982
514,Eco Corp 66,Retail,23827,40.6,Toronto,India,2005
515,Alpha Group 47,Retail,33378,276.62,Bangalore,Germany,1994
516,Tech Group 45,Energy,28331,10.72,Bangalore,UK,1986
517,Alpha Systems 77,Automotive,10662,489.55,Sydney,Australia,1971
518,Global Ltd 45,Retail,13250,276.19,Berlin,Japan,1959
519,Alpha Holdings 38,Finance,23408,275.5,Sydney,USA,1975
520,Smart Inc 86,Real Estate,45241,426.03,Bangalore,USA,1967
521,Smart Systems 48,Real Estate,14928,490.24,Sydney,Germany,1970
522,Future Systems 93,Technology,7099,52.22,Toronto,Canada,2011
523,Smart Group 61,Real Estate,3345,111.26,Toronto,India,1958
524,Smart Systems 5,Finance,17156,461.33,Toronto,Australia,1964
525,Omega Systems 96,Energy,47026,108.37,Toronto,Germany,2017
526,Future Solutions 50,Finance,31306,400.54,Sydney,India,2014
527,Future Ltd 34,Automotive,12443,221.6,Berlin,Australia,2013
528,Prime Systems 49,Energy,10191,335.48,Bangalore,UK,1956
529,Eco Systems 80,Retail,29099,288.46,Toronto,India,2003
530,Alpha Group 1,Technology,29734,145.91,Sydney,USA,1970
531,Alpha Group 93,Energy,22015,282.1,Toronto,Australia,2014
532,Alpha Systems 82,Automotive,45010,291.82,Bangalore,India,1970
533,Prime Holdings 11,Automotive,28840,3.68,London,UK,2015
534,Smart Systems 49,Healthcare,17745,254.6,London,Australia,2010
535,Future Group 55,Energy,28899,430.67,New York,Japan,1998
536,Smart Corp 62,Real Estate,46561,322.76,San Francisco,Australia,2003
537,Smart Systems 75,Retail,35459,403.56,Berlin,Australia,2009
538,Future Group 61,Retail,28575,455.74,San Francisco,Germany,1982
539,Tech Group 70,Real Estate,34991,293.69,Bangalore,Australia,1984
540,Eco Group 18,Retail,3451,493.56,London,Australia,1966
541,Eco Systems 9,Finance,12244,124.21,New York,Germany,2017
542,Eco Holdings 60,Technology,37083,39.54,Berlin,India,2017
543,Prime Group 25,Finance,5854,108.52,San Francisco,Germany,1971
544,Global Inc 23,Retail,15411,339.48,Bangalore,Germany,1976
545,Smart Inc 12,Technology,10543,306.51,Berlin,India,2016
546,Omega Solutions 80,Finance,16274,413.26,Toronto,Canada,1964
547,Smart Corp 10,Automotive,17842,54.96,San Francisco,Canada,1982
548,Smart Systems 51,Energy,29437,329.86,New York,Germany,1972
549,Prime Solutions 29,Technology,44330,298.29,San Francisco,Japan,2003
550,Alpha Group 22,Retail,21465,176.31,Sydney,UK,2006
551,Prime Ltd 19,Energy,17159,206.98,San Francisco,Canada,2000
552,Tech Holdings 85,Real Estate,23012,365.07,Toronto,USA,1994
553,Eco Solutions 51,Real Estate,14957,157.9,London,Australia,1976
554,Omega Ltd 28,Healthcare,23061,48.23,London,UK,2002
555,Smart Solutions 6,Real Estate,42508,333.78,Toronto,Australia,2023
556,Global Holdings 77,Energy,4395,435.99,Toronto,Canada,1988
557,Prime Holdings 45,Automotive,41001,283.8,New York,India,1970
558,Global Solutions 97,Technology,35805,262.82,Bangalore,India,2000
559,Omega Group 92,Healthcare,13197,79.62,London,Canada,1987
560,Tech Corp 66,Healthcare,23692,358.72,Berlin,Canada,1970
561,Smart Ltd 1,Automotive,23373,272.72,Toronto,Japan,2019
562,Alpha Group 68,Technology,2200,125.65,London,USA,2021
563,Prime Ltd 48,Finance,37788,155.63,Tokyo,UK,2013
564,Eco Inc 8,Healthcare,10593,161.39,Tokyo,Germany,1969
565,Global Systems 83,Retail,37273,472.43,New York,Canada,1970
566,Tech Group 62,Energy,43745,422.62,London,Canada,1950
567,Smart Corp 58,Energy,7464,10.58,San Francisco,Japan,1974
568,Omega Systems 89,Energy,10015,238.12,Sydney,Japan,1967
569,Tech Inc 86,Technology,37095,145.68,Berlin,USA,1999
570,Tech Inc 29,Finance,20723,261.46,Sydney,Japan,1987
571,Global Group 24,Finance,5716,293.69,London,Australia,1959
572,Tech Systems 30,Automotive,33608,228.85,Tokyo,India,1975
573,Alpha Systems 57,Healthcare,13005,328.83,Berlin,Japan,1995
574,Future Solutions 53,Retail,7250,393.37,San Francisco,Japan,2016
575,Global Solutions 81,Energy,14070,404.99,Bangalore,UK,2009
576,Tech Solutions 86,Energy,6746,417.48,Toronto,Australia,2021
577,Tech Solutions 38,Finance,37894,491.21,Toronto,Japan,1986
578,Smart Group 80,Retail,19984,57.77,New York,Germany,1959
579,Prime Systems 6,Retail,44234,492.9,Tokyo,India,1976
580,Alpha Group 59,Retail,15261,306.07,San Francisco,UK,1968
581,Eco Solutions 75,Retail,28144,86.32,San Francisco,Australia,2021
582,Future Holdings 35,Finance,33974,489.49,Toronto,India,1964
583,Tech Systems 76,Retail,1803,22.51,Sydney,Germany,1979
584,Alpha Systems 29,Technology,32502,325.3,Bangalore,Germany,2012
585,Alpha Corp 87,Healthcare,30814,359.85,Tokyo,Australia,1963
586,Eco Corp 45,Technology,34600,182.39,San Francisco,India,2013
587,Alpha Systems 36,Real Estate,21266,120.81,Bangalore,India,2023
588,Smart Ltd 16,Energy,26295,38.47,Berlin,Australia,1953
589,Eco Corp 49,Technology,31658,330.52,Bangalore,Canada,1959
590,Alpha Group 98,Automotive,7155,76.0,London,India,1986
591,Omega Inc 10,Automotive,42231,275.76,Tokyo,USA,1981
592,Omega Systems 70,Technology,7054,455.64,San Francisco,Australia,1962
593,Future Group 54,Automotive,44582,456.59,Toronto,UK,2000
594,Prime Solutions 59,Technology,28550,284.5,Sydney,Japan,2003
595,Omega Corp 9,Energy,19224,406.64,Toronto,Japan,1989
596,Eco Inc 75,Healthcare,41550,380.06,Sydney,USA,1988
597,Eco Inc 75,Healthcare,47160,424.97,Tokyo,USA,1967
598,Eco Systems 30,Finance,7326,426.52,Toronto,UK,1957
599,Global Systems 6,Real Estate,27420,364.28,Tokyo,Australia,1976
600,Global Solutions 81,Real Estate,21173,54.91,Tokyo,India,1955
601,Future Solutions 31,Automotive,23917,46.96,Toronto,Australia,1993
602,Smart Ltd 45,Retail,10846,466.05,London,UK,1961
603,Global Group 30,Real Estate,35648,312.42,Bangalore,India,2014
604,Alpha Corp 65,Retail,19144,164.15,London,UK,2014
605,Future Holdings 72,Energy,40332,258.73,Bangalore,Germany,1964
606,Alpha Ltd 24,Automotive,24115,285.49,London,India,2015
607,Alpha Ltd 60,Automotive,13437,421.8,London,Japan,2019
608,Global Holdings 68,Automotive,17867,479.45,Tokyo,Australia,2014
609,Eco Systems 41,Finance,2188,325.1,New York,India,1986
610,Tech Group 19,Automotive,49165,322.4,San Francisco,Canada,1975
611,Prime Systems 87,Energy,20332,319.03,San Francisco,Japan,1958
612,Eco Group 19,Technology,19104,149.99,Sydney,India,1962
613,Omega Ltd 28,Technology,11992,161.57,London,USA,1995
614,Eco Holdings 28,Automotive,31145,270.76,Tokyo,Canada,1998
615,Omega Corp 32,Healthcare,32903,263.35,Tokyo,India,1963
616,Prime Corp 60,Energy,32973,227.59,New York,Australia,1994
617,Future Solutions 39,Real Estate,29376,147.67,Bangalore,India,1986
618,Omega Corp 79,Finance,14339,447.16,Tokyo,Canada,1973
619,Tech Systems 22,Retail,39642,214.2,San Francisco,India,2022
620,Future Inc 68,Healthcare,26998,89.09,New York,Japan,2013
621,Omega Group 9,Technology,29507,255.84,London,Canada,1971
622,Eco Corp 40,Energy,20059,444.37,London,Australia,2009
623,Global Holdings 15,Finance,32657,450.12,Toronto,India,1993
624,Eco Holdings 66,Real Estate,27125,305.52,Tokyo,Japan,2010
625,Tech Group 46,Automotive,16515,184.61,Bangalore,Germany,1986
626,Future Inc 7,Real Estate,2775,298.93,Sydney,USA,1981
627,Prime Solutions 57,Energy,7369,480.9,San Francisco,Germany,1995
628,Eco Inc 14,Real Estate,37141,320.47,Tokyo,USA,1990
629,Tech Systems 83,Real Estate,12217,461.22,Berlin,Germany,2014
630,Prime Ltd 87,Automotive,13068,80.32,Sydney,Australia,1976
631,Alpha Solutions 85,Technology,34972,370.79,London,USA,1996
632,Future Inc 39,Automotive,10277,6.75,Sydney,India,1988
633,Omega Inc 49,Energy,28572,233.98,London,Japan,1972
634,Global Ltd 11,Healthcare,16440,227.76,San Francisco,Australia,1986
635,Future Corp 98,Real Estate,37421,186.7,Tokyo,USA,1953
636,Global Inc 39,Real Estate,10137,107.4,Toronto,Germany,1954
637,Omega Ltd 6,Energy,18424,327.7,Toronto,Canada,1985
638,Omega Group 36,Automotive,24033,331.02,Bangalore,USA,1973
639,Global Group 53,Retail,32952,318.74,Bangalore,Australia,1976
640,Alpha Ltd 15,Finance,27135,445.56,New York,India,1989
641,Smart Ltd 20,Retail,13742,27.95,Sydney,USA,1961
642,Tech Inc 91,Technology,5488,215.92,San Francisco,UK,1971
643,Alpha Ltd 12,Technology,13974,259.55,San Francisco,Germany,1985
644,Tech Solutions 46,Healthcare,40050,435.14,New York,Canada,1952
645,Prime Ltd 42,Automotive,7552,255.11,Berlin,UK,2010
646,Prime Holdings 79,Finance,31058,470.46,Bangalore,Germany,1955
647,Eco Corp 43,Real Estate,17045,398.29,London,Japan,1966
648,Global Ltd 86,Finance,4802,389.46,Sydney,UK,1981
649,Omega Solutions 4,Finance,40929,499.12,Sydney,India,2020
650,Alpha Systems 41,Energy,45580,366.68,London,Japan,1995
651,Prime Group 38,Retail,17525,104.67,San Francisco,USA,1995
652,Omega Holdings 12,Real Estate,30173,296.75,New York,Canada,1985
653,Future Systems 55,Automotive,42267,275.45,Bangalore,Canada,1989
654,Smart Holdings 79,Technology,30915,273.69,Bangalore,Japan,1988
655,Prime Corp 58,Energy,21679,494.11,Berlin,India,1966
656,Prime Group 46,Automotive,48088,489.36,London,Australia,2023
657,Omega Group 71,Energy,18198,287.52,Sydney,Australia,2001
658,Omega Systems 57,Healthcare,18321,161.86,Toronto,Canada,1950
659,Smart Solutions 43,Energy,13381,437.35,Toronto,Germany,1981
660,Global Solutions 73,Retail,41459,342.47,London,India,1988
661,Global Corp 53,Energy,1771,302.56,Toronto,Australia,2016
662,Smart Corp 34,Retail,24990,471.66,Toronto,Canada,2022
663,Eco Ltd 13,Automotive,12468,331.73,Toronto,Australia,2008
664,Omega Inc 70,Automotive,48511,183.28,Sydney,India,1998
665,Global Solutions 90,Retail,49669,422.66,Tokyo,India,1968
666,Eco Inc 67,Healthcare,36503,261.58,San Francisco,Canada,1987
667,Tech Holdings 76,Real Estate,3934,26.31,London,Germany,1965
668,Tech Holdings 6,Retail,7832,404.77,Bangalore,Japan,2002
669,Tech Solutions 28,Real Estate,21774,65.65,New York,UK,1997
670,Future Group 81,Energy,5643,45.63,New York,India,1986
671,Eco Solutions 56,Technology,36572,6.89,London,Australia,1994
672,Alpha Systems 30,Retail,486,156.09,San Francisco,USA,1974
673,Future Solutions 67,Finance,49951,85.78,San Francisco,Japan,2020
674,Future Corp 88,Healthcare,1619,396.06,London,USA,1987
675,Alpha Group 89,Retail,31861,495.9,New York,Germany,1997
676,Tech Corp 9,Retail,44952,413.21,New York,UK,1992
677,Eco Holdings 47,Energy,27455,420.7,Bangalore,Australia,1961
678,Future Solutions 7,Healthcare,19956,199.3,Sydney,USA,1983
679,Smart Corp 63,Healthcare,3701,253.03,Bangalore,India,2011
680,Future Group 92,Finance,4545,201.81,New York,Canada,2009
681,Future Solutions 55,Retail,7682,61.87,New York,USA,1952
682,Tech Holdings 55,Energy,21319,407.03,New York,India,1958
683,Tech Systems 61,Energy,41183,8.94,London,India,2023
684,Prime Group 40,Energy,29193,8.15,Toronto,Germany,1977
685,Future Corp 6,Retail,34742,83.65,Bangalore,Germany,2020
686,Tech Holdings 31,Technology,41361,104.51,Sydney,Japan,1961
687,Future Group 36,Healthcare,6186,3.25,Berlin,Japan,1978
688,Eco Ltd 3,Automotive,38700,465.51,London,India,2000
689,Omega Corp 15,Healthcare,19510,420.59,Sydney,Japan,1952
690,Future Inc 48,Finance,33378,318.26,London,India,2003
691,Tech Holdings 30,Healthcare,20984,183.68,New York,USA,1953
692,Tech Solutions 90,Technology,39419,74.3,New York,India,1978
693,Prime Systems 68,Healthcare,35680,325.43,Toronto,India,2018
694,Alpha Holdings 67,Automotive,11166,140.26,Berlin,UK,2020
695,Prime Solutions 55,Retail,17147,125.56,Sydney,Japan,2016
696,Prime Holdings 69,Energy,35258,132.47,London,India,1966
697,Global Holdings 20,Technology,10608,240.26,San Francisco,USA,2012
698,Omega Ltd 66,Automotive,32935,82.75,Bangalore,Australia,1989
699,Prime Ltd 76,Automotive,12022,136.6,Toronto,Canada,2006
700,Future Holdings 30,Finance,39717,132.02,London,Canada,2003
701,Tech Corp 48,Energy,19521,128.7,Toronto,Australia,1983
702,Alpha Systems 24,Healthcare,19128,37.28,Toronto,Australia,1988
703,Prime Group 53,Retail,36929,471.89,London,UK,1998
704,Global Holdings 36,Retail,19332,175.9,Toronto,Canada,1969
705,Omega Group 62,Real Estate,40934,393.59,Sydney,Germany,1963
706,Prime Ltd 90,Real Estate,47439,5.51,Sydney,USA,1998
707,Smart Ltd 75,Healthcare,29818,492.63,New York,Canada,1997
708,Tech Solutions 68,Healthcare,3007,83.95,London,UK,1983
709,Tech Inc 49,Finance,8860,193.0,Toronto,India,1957
710,Omega Corp 95,Energy,1613,473.64,New York,Germany,1989
711,Omega Corp 99,Automotive,6858,112.58,London,Australia,2016
712,Global Ltd 28,Healthcare,13826,345.84,Toronto,Canada,1986
713,Tech Holdings 74,Automotive,39969,143.65,Bangalore,Japan,2018
714,Tech Systems 90,Healthcare,6673,309.6,Toronto,India,2006
715,Omega Holdings 78,Technology,13746,147.5,Sydney,USA,1964
716,Smart Corp 33,Energy,34030,333.96,Berlin,Australia,1982
717,Alpha Systems 21,Healthcare,4769,476.74,New York,Australia,1962
718,Smart Solutions 64,Finance,38092,417.96,Sydney,Japan,1951
719,Eco Inc 69,Energy,22481,78.0,Tokyo,USA,1985
720,Eco Group 41,Technology,20147,177.76,Tokyo,UK,1969
721,Alpha Ltd 49,Energy,16700,429.39,Sydney,Canada,1969
722,Eco Systems 46,Technology,28120,23.2,London,India,1986
723,Prime Systems 16,Automotive,36060,325.23,New York,Canada,2014
724,Tech Ltd 26,Finance,553,11.7,Toronto,Germany,2019
725,Smart Solutions 86,Technology,31100,213.4,London,Japan,1965
726,Omega Systems 2,Technology,47279,378.38,Tokyo,Japan,1994
727,Omega Group 74,Real Estate,28257,469.02,San Francisco,UK,1952
728,Omega Solutions 85,Technology,21452,447.88,Sydney,USA,2018
729,Prime Corp 66,Healthcare,7975,95.87,Toronto,Australia,1995
730,Tech Solutions 72,Finance,17669,101.33,Berlin,Germany,1970
731,Future Holdings 59,Retail,929,356.38,Bangalore,Japan,1999
732,Omega Solutions 58,Retail,38075,247.41,London,USA,1998
733,Prime Group 71,Healthcare,23190,167.23,San Francisco,Japan,1991
734,Alpha Solutions 23,Energy,48081,43.12,New York,Canada,1953
735,Future Inc 97,Automotive,6279,182.92,Bangalore,USA,1986
736,Future Group 58,Energy,25617,19.33,San Francisco,Australia,1983
737,Tech Systems 74,Retail,34583,418.83,Tokyo,USA,1999
738,Smart Solutions 78,Retail,36665,268.49,Tokyo,UK,1999
739,Omega Inc 17,Healthcare,528,496.0,Toronto,Japan,1979
740,Tech Systems 49,Automotive,9860,96.36,Sydney,Canada,1960
741,Eco Group 22,Finance,40561,38.58,Bangalore,Japan,1972
742,Smart Group 88,Technology,37774,170.08,New York,USA,1999
743,Omega Inc 32,Retail,46504,19.6,Bangalore,Japan,1978
744,Prime Corp 17,Technology,24377,291.6,Sydney,India,1991
745,Future Corp 89,Automotive,6243,42.37,Bangalore,Japan,1982
746,Smart Systems 7,Healthcare,10578,388.51,Bangalore,Germany,2016
747,Smart Group 72,Real Estate,39982,376.68,San Francisco,Japan,2016
748,Eco Systems 12,Retail,10428,1.84,San Francisco,Germany,2007
749,Future Corp 1,Real Estate,19799,20.5,Sydney,Germany,2002
750,Smart Corp 61,Real Estate,42458,331.21,Bangalore,India,1972
751,Alpha Systems 97,Real Estate,26724,46.27,Toronto,India,1971
752,Omega Holdings 14,Automotive,33810,491.42,Tokyo,Canada,1984
753,Omega Group 88,Automotive,44458,288.74,Sydney,USA,2016
754,Prime Group 46,Real Estate,40018,34.73,New York,Canada,1960
755,Smart Systems 75,Finance,47487,431.7,London,Canada,1996
756,Smart Holdings 89,Finance,32347,473.22,Tokyo,Germany,1956
757,Tech Solutions 6,Retail,1019,313.06,Tokyo,Australia,1963
758,Smart Solutions 58,Finance,10944,498.26,London,Australia,1992
759,Omega Group 59,Finance,40273,47.18,Tokyo,Canada,2003
760,Future Group 95,Automotive,2717,454.51,Bangalore,Australia,1955
761,Omega Solutions 82,Retail,25199,284.57,London,UK,1971
762,Prime Corp 8,Energy,29734,304.03,London,UK,1950
763,Global Group 40,Automotive,32930,353.04,Toronto,Canada,1970
764,Omega Group 40,Automotive,10775,438.53,Tokyo,Germany,1961
765,Smart Ltd 57,Retail,26791,464.41,Sydney,Australia,2002
766,Prime Corp 70,Real Estate,7825,282.84,Tokyo,Canada,2011
767,Future Holdings 68,Real Estate,39686,39.36,Sydney,India,2011
768,Alpha Corp 61,Energy,361,104.82,Berlin,UK,2011
769,Smart Group 27,Healthcare,30527,201.08,Toronto,USA,1957
770,Global Corp 98,Healthcare,3834,71.14,San Francisco,Australia,1959
771,Global Group 20,Healthcare,47845,373.48,Bangalore,Canada,1986
772,Prime Corp 3,Technology,1035,162.26,San Francisco,India,1953
773,Smart Ltd 25,Retail,20660,402.43,New York,Germany,2004
774,Tech Corp 25,Energy,5041,281.5,Sydney,India,1993
775,Global Group 3,Automotive,1319,215.89,Berlin,Germany,2007
776,Future Inc 77,Finance,2955,249.89,San Francisco,Canada,1983
777,Tech Solutions 70,Real Estate,3615,370.47,Sydney,Japan,1956
778,Global Holdings 88,Automotive,48953,321.76,Sydney,UK,1985
779,Global Holdings 28,Healthcare,4269,326.04,Berlin,India,1971
780,Alpha Solutions 44,Retail,6945,99.18,Toronto,UK,1956
781,Global Inc 27,Energy,38122,109.63,Tokyo,Canada,1979
782,Tech Inc 68,Healthcare,8890,354.74,New York,Japan,2005
783,Global Corp 96,Finance,40925,1.1,Tokyo,Australia,2020
784,Tech Holdings 45,Real Estate,29568,140.94,New York,Australia,2022
785,Tech Holdings 45,Technology,40438,1.79,New York,Australia,2013
786,Tech Ltd 42,Retail,18129,462.55,San Francisco,Canada,1959
787,Eco Solutions 28,Healthcare,11796,374.87,Toronto,Australia,1959
788,Tech Systems 97,Technology,27057,33.94,London,Canada,1951
789,Omega Systems 44,Healthcare,29462,255.08,Sydney,Canada,2001
790,Tech Group 13,Retail,13933,280.74,San Francisco,Australia,1981
791,Future Holdings 48,Real Estate,27508,127.35,Sydney,USA,1987
792,Prime Systems 15,Energy,42966,462.0,New York,Australia,1958
793,Alpha Group 5,Automotive,25175,195.84,Bangalore,Germany,2008
794,Prime Holdings 30,Energy,37880,85.56,Berlin,Canada,1984
795,Smart Holdings 42,Real Estate,13391,30.21,London,USA,1982
796,Future Group 35,Automotive,13809,476.56,Toronto,Canada,1958
797,Tech Group 33,Technology,45270,115.88,Bangalore,Japan,2008
798,Alpha Solutions 51,Energy,39397,75.52,London,Germany,1970
799,Global Group 46,Retail,11362,133.58,New York,India,2005
800,Tech Inc 44,Technology,16925,170.54,Toronto,Canada,1976
801,Smart Systems 71,Energy,33305,328.21,Sydney,USA,1954
802,Prime Corp 79,Retail,17860,453.23,Bangalore,UK,2019
803,Future Holdings 53,Real Estate,8756,323.76,New York,Germany,1984
804,Prime Holdings 99,Healthcare,2996,196.59,San Francisco,Japan,1993
805,Tech Group 27,Real Estate,33322,229.86,New York,Canada,2014
806,Omega Inc 56,Real Estate,11263,121.27,Toronto,Australia,2014
807,Prime Solutions 72,Technology,48722,313.61,Berlin,Canada,1977
808,Eco Inc 4,Healthcare,15160,57.65,Toronto,USA,2020
809,Omega Corp 91,Energy,21957,360.33,London,Canada,2003
810,Alpha Corp 57,Real Estate,25644,33.34,New York,Canada,1967
811,Smart Inc 48,Healthcare,38708,420.92,London,Germany,1988
812,Future Ltd 84,Healthcare,4229,138.83,Bangalore,India,1950
813,Eco Inc 12,Technology,28285,47.53,Sydney,Germany,1990
814,Future Ltd 7,Automotive,35225,119.42,Berlin,USA,2013
815,Tech Ltd 45,Energy,9233,461.55,Tokyo,Germany,1999
816,Smart Solutions 99,Technology,12774,459.78,Bangalore,Canada,2023
817,Prime Corp 68,Technology,48154,421.81,New York,USA,1991
818,Prime Systems 28,Retail,3272,347.22,Tokyo,Japan,2021
819,Prime Inc 2,Automotive,47988,138.01,Bangalore,Canada,1991
820,Alpha Solutions 86,Real Estate,30444,324.13,Bangalore,Japan,2004
